;;;Csatlakozók / töltési módok;;;;;;;;Töltőpont címe;;;;
Töltőpont neve;Gyártó;Típus;Teljesítmény (Type 2);Darab (Type 2);Teljesítmény (CCS);Darab (CCS);Teljesítmény (CHAdeMO);Darab (CHAdeMO);Kapacitás;Szolgáltatás díja (bruttó);Irányító szám;Település;Cím;Mobiliti azonosító;GPS koordináták
Füzesabony - Rákóczi Ferenc út 67.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3390;Füzesabony;Rákóczi Ferenc út 67.     ;13134;47.748812,20.417927
Mezőkövesd - Juharfa utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3400;Mezőkövesd;Juharfa utca       ;13135;47.810638,20.574343
Miskolc - Régiposta utca 22.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3500;Miskolc;Régiposta utca 22.      ;13136;48.104173,20.788348
Miskolc - Kandia utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3500;Miskolc;Kandia utca      ;13137;48.101775,20.783643
Szerencs - Tatay Zoltán utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3900;Szerencs;Tatay Zoltán utca      ;13138;48.160493,21.200277
Mád - Rákóczi utca 71.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3909;Mád;Rákóczi utca 71.      ;13139;48.19543,21.279057
Tokaj - Bodrogkeresztúri út 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3910;Tokaj;Bodrogkeresztúri út 2.      ;13140;48.132657,21.403575
Bodrogkeresztúr - Kastély köz 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3916;Bodrogkeresztúr;Kastély köz 2.      ;13141;48.169493,21.361047
Sárospatak - Comenius utca 24.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3950;Sárospatak;Comenius utca 24.      ;13142;48.319698,21.565475
Sátoraljaújhely - Táncsics tér 4.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;3980;Sátoraljaújhely;Táncsics tér 4.      ;13143;48.397567,21.65492
Hortobágy - Hunyadi utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;4071;Hortobágy;Hunyadi utca 2.      ;13144;47.582905,21.151028
Nyíregyháza - Bujtos utca 14.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;4400;Nyíregyháza;Bujtos utca 14.      ;13145;47.955535,21.722763
Nyíregyháza - Tavasz utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;4400;Nyíregyháza;Tavasz utca 2.      ;13146;47.959288,21.719768
Nyíregyháza - Körte utca 16.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;4400;Nyíregyháza;Körte utca 16.      ;13147;47.959753,21.715998
Szolnok - Jubileumi tér 1.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5000;Szolnok;Jubileumi tér 1.      ;13148;47.179628,20.177395
Szolnok - Mártírok út      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5000;Szolnok;Mártírok út      ;13149;47.167687,20.181461
Abádszalók - Arany János utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5241;Abádszalók;Arany János utca      ;13150;47.478252,20.591701
Karcag - Bajcsy Zsilinszky utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5300;Karcag;Bajcsy Zsilinszky utca      ;13151;47.316692,20.925198
Tiszafüred - Fürdő utca 5.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5350;Tiszafüred;Fürdő utca 5.      ;13152;47.625888,20.750892
Békéscsaba - Posta köz      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5600;Békéscsaba;Posta köz      ;13153;46.678933,21.097148
Gyula - Várkert utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;5700;Gyula;Várkert utca      ;13154;46.645045,21.284737
Kecskemét - Horváth Cirill tér      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6000;Kecskemét;Horváth Cirill tér      ;13155;46.91049,19.693884
Kecskemét - Rákóczi út      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6000;Kecskemét;Rákóczi út      ;13156;46.909816,19.698089
Kecskemét - Akadémia krt.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6000;Kecskemét;Akadémia krt.      ;13157;46.916454,19.67979
Kiskőrös - Petőfi Sándor utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6200;Kiskőrös;Petőfi Sándor utca      ;13158;46.620228,19.284052
Szeged - Víztorony tér 1.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6723;Szeged;Víztorony tér 1.      ;13159;46.27035,20.164438
